SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532847,HILTON MET  ,T ,Q,17.30,18.25,17.30,17.50,18.25,18.15,3,350,6065.00,
532848,DELTA CORP  ,A ,Q,244.40,245.50,238.40,239.75,239.75,246.05,986,68746,16671369.00,
532850,MIC ELECTRON,T ,Q,0.96,0.96,0.93,0.95,0.95,0.92,6,7400,7057.00,
532851,INSECTCID   ,B ,Q,610.00,632.15,605.00,628.90,626.20,623.70,152,783,485105.00,
532852,MCD HOLDING ,B ,Q,24.75,24.95,23.70,24.95,24.95,22.70,54,8977,219381.00,
532853,ASAHI SONG  ,B ,Q,152.15,152.15,146.00,150.10,146.00,165.40,14,331,49675.00,
532854,NITIN FIRE  ,B ,Q,1.19,1.28,1.19,1.28,1.28,1.25,4,3600,4374.00,
532855,HARYA CAPFIN,X ,Q,48.50,48.50,44.35,44.40,44.40,46.65,8,99,4579.00,
532856,TIME TECHNO ,A ,Q,91.00,91.90,90.25,90.30,90.30,90.65,39,1095,99775.00,
532859,HGSL        ,B ,Q,635.75,637.40,626.00,632.00,626.00,624.35,13,156,98867.00,
532864,NELCAST     ,B ,Q,71.00,73.00,70.00,71.00,71.35,71.45,64,3005,213615.00,
532865,MEGHMANI    ,A ,Q,66.50,68.25,65.55,66.60,66.60,66.05,1159,173810,11605656.00,
532867,V2RETAIL    ,B ,Q,256.00,264.60,256.00,262.35,262.00,253.55,105,893,230706.00,
532868,DLF LIMITED ,A ,Q,171.70,175.55,169.85,171.95,171.95,172.85,2785,488304,84611032.00,
532869,TARMAT      ,B ,Q,36.25,39.95,36.25,37.90,38.00,38.65,6,108,4301.00,
532870,ANKIT METAL ,T ,Q,0.50,0.50,0.50,0.50,0.50,0.50,4,200,100.00,
532871,CELESTIAL   ,B ,Q,5.05,5.55,5.04,5.29,5.29,5.48,21,3768,19253.00,
532872,SUNPHA ADV  ,A ,Q,168.85,171.00,165.60,167.95,167.95,168.55,720,38135,6415930.00,
532873,HOUSING DEV ,A ,Q,22.95,23.15,22.70,22.95,22.95,23.15,491,191917,4402260.00,
532874,SURYACHAKRA ,Z ,Q,0.31,0.31,0.31,0.31,0.31,0.32,6,7600,2356.00,
532875,ALLIED DIGIT,B ,Q,14.70,15.64,14.67,15.27,15.50,14.99,33,2395,36181.00,
532878,ALPA LAB    ,B ,Q,24.00,25.50,24.00,24.40,24.50,24.10,36,4947,121656.00,
532879,SIR SHADI LA,XT,Q,36.60,36.60,35.00,35.05,36.60,34.95,3,102,3653.00,
532880,OMAXE LTD   ,A ,Q,208.90,208.90,207.60,207.85,208.00,207.85,653,111378,23148337.00,
532884,REFEX       ,T ,Q,37.90,39.65,37.50,38.70,38.55,37.90,50,10338,399295.00,
532885,CENTRAL BK  ,A ,Q,31.60,31.95,30.90,31.15,31.15,31.60,242,28781,904997.00,
532886,SEL MANUF   ,B ,Q,1.08,1.08,0.98,1.02,1.02,1.02,11,11226,11399.00,
532888,ASIAN GRANIT,B ,Q,188.70,193.60,185.00,187.45,185.25,193.75,150,7087,1337667.00,
532889,K.P.R. MILL ,A ,Q,604.60,611.00,594.75,600.90,600.90,599.10,140,1706,1023431.00,
532890,TAKE SOLUT  ,A ,Q,144.55,149.40,144.55,145.20,145.60,147.50,184,4785,702279.00,
532891,PURAVANKARA ,B ,Q,72.50,73.30,72.00,72.40,72.40,73.30,76,3625,262853.00,
532892,MOTILALOFS  ,A ,Q,715.00,748.00,710.50,736.85,732.00,716.65,648,8307,6136343.00,
532893,VTM LTD     ,X ,Q,29.90,29.90,27.60,28.10,28.60,27.90,39,4351,126821.00,
532894,IWIND ENERGY,B ,Q,5.19,5.20,4.80,5.13,5.13,5.31,27,12175,61215.00,
532895,NAGREKA CAP ,B ,Q,13.93,13.94,12.01,13.88,13.88,13.94,11,1934,25002.00,
532898,POWER GRID  ,A ,Q,187.00,190.70,186.40,190.00,189.80,186.30,1291,1593493,302710372.00,
532899,KAVERI SEED ,A ,Q,446.00,455.00,438.60,453.25,453.25,444.75,195,5975,2687588.00,
532900,PAISALO     ,B ,Q,310.00,324.00,301.50,321.05,321.05,310.35,54,7303,2286536.00,
532904,SUPREME INFR,T ,Q,24.00,24.20,23.10,23.65,23.50,24.15,38,15905,374590.00,
532906,MAANALU     ,B ,Q,81.30,89.95,81.30,89.95,89.95,88.70,3,72,6196.00,
532907,ILFSENGG    ,Z ,Q,9.00,9.00,8.16,8.16,8.16,8.58,25,5503,45188.00,
532911,PARLE SOFTWR,X ,Q,27.70,27.70,27.70,27.70,27.70,27.19,9,1020,28254.00,
532914,ARCOTECH LTD,T ,Q,5.00,5.00,4.85,4.85,4.85,5.05,24,22376,109446.00,
532915,RELIGARE ENT,B ,Q,31.60,32.60,31.00,31.90,31.90,31.65,88,10007,317644.00,
532916,BARAK VALL  ,T ,Q,16.75,17.55,16.40,17.05,17.05,16.75,8,3017,51314.00,
532918,RATHI BARS  ,X ,Q,12.30,13.80,12.30,12.74,12.70,13.60,8,1019,13073.00,
532920,EMPEE DIST  ,Z ,Q,6.45,6.60,6.13,6.60,6.60,6.45,10,2101,13022.00,
532921,ADANI PORTS ,A ,Q,390.00,396.25,390.00,394.30,394.30,392.00,1283,110209,43435730.00,
532922,EDELWEISS   ,A ,Q,150.00,150.00,139.50,140.65,140.65,148.95,2097,142900,20502809.00,
532923,RGL         ,B ,Q,305.00,305.00,305.00,305.00,305.00,306.00,2,64,19520.00,
532924,KOLTEPATIL  ,B ,Q,228.00,230.70,227.00,227.30,227.30,229.60,78,1658,379044.00,
532926,JYOTHY LAB  ,A ,Q,180.00,182.00,178.60,180.00,181.90,179.50,254,263488,47428114.00,
532927,ECLERX      ,A ,Q,1153.00,1153.00,1145.00,1148.50,1148.50,1145.40,639,6752,7754355.00,
532928,TRIL        ,B ,Q,11.69,11.70,11.16,11.28,11.25,11.50,41,7780,88364.00,
532929,BRIGADE     ,B ,Q,227.00,228.90,219.70,223.75,224.95,223.25,101,2776,622378.00,
532930,BGR ENERGY  ,B ,Q,55.90,57.10,54.85,54.95,54.95,56.15,112,13852,772245.00,
532931,BURNPUR     ,T ,Q,2.58,2.74,2.58,2.70,2.65,2.64,17,9590,25711.00,
532932,MANAKSIA LTD,B ,Q,38.75,38.75,37.00,37.10,37.00,36.40,3,12,446.00,
532933,PORWAL AUTO ,X ,Q,29.35,29.35,27.20,27.75,27.75,28.15,31,5993,164747.00,
532934,PPAP        ,B ,Q,282.05,285.90,279.00,280.00,280.00,286.10,20,948,267258.00,
532935,ARIES AGRO  ,B ,Q,76.00,77.75,74.00,75.10,74.00,76.80,31,830,62960.00,
532937,KUANTUM     ,X ,Q,428.00,428.00,411.00,412.55,412.55,433.80,91,2037,844772.00,
